Replaced: $this->load->library('paypal_payment'); with $this->paypal_payment = service('paypal_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Admissionpayment.php
Replaced: $this->load->library('stripe_payment'); with $this->stripe_payment = service('stripe_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Admissionpayment.php
Replaced: $this->load->library('razorpay_payment'); with $this->razorpay_payment = service('razorpay_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Admissionpayment.php
Replaced: $this->load->library('midtrans_payment'); with $this->midtrans_payment = service('midtrans_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Admissionpayment.php
Replaced: $this->load->library('paytm_kit_lib'); with $this->paytm_kit_lib = service('paytm_kit_lib'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Admissionpayment.php
Replaced: $this->load->library('user_agent'); with $this->user_agent = service('user_agent'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Authentication.php
Replaced: $this->load->library('upload', $config); with $this->upload = service('upload', $config); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Backup.php
Replaced: $this->load->library('paypal_payment'); with $this->paypal_payment = service('paypal_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Feespayment.php
Replaced: $this->load->library('stripe_payment'); with $this->stripe_payment = service('stripe_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Feespayment.php
Replaced: $this->load->library('razorpay_payment'); with $this->razorpay_payment = service('razorpay_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Feespayment.php
Replaced: $this->load->library('midtrans_payment'); with $this->midtrans_payment = service('midtrans_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Feespayment.php
Replaced: $this->load->library('paytm_kit_lib'); with $this->paytm_kit_lib = service('paytm_kit_lib'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Feespayment.php
Replaced: $this->load->library('paypal_payment'); with $this->paypal_payment = service('paypal_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Onlineexam_payment.php
Replaced: $this->load->library('stripe_payment'); with $this->stripe_payment = service('stripe_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Onlineexam_payment.php
Replaced: $this->load->library('razorpay_payment'); with $this->razorpay_payment = service('razorpay_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Onlineexam_payment.php
Replaced: $this->load->library('midtrans_payment'); with $this->midtrans_payment = service('midtrans_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Onlineexam_payment.php
Replaced: $this->load->library('paytm_kit_lib'); with $this->paytm_kit_lib = service('paytm_kit_lib'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Onlineexam_payment.php
Replaced: $this->load->library('form_validation'); with $this->form_validation = service('form_validation'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas.php
Replaced: $this->load->library('paypal_payment'); with $this->paypal_payment = service('paypal_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas_payment.php
Replaced: $this->load->library('stripe_payment'); with $this->stripe_payment = service('stripe_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas_payment.php
Replaced: $this->load->library('razorpay_payment'); with $this->razorpay_payment = service('razorpay_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas_payment.php
Replaced: $this->load->library('midtrans_payment'); with $this->midtrans_payment = service('midtrans_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas_payment.php
Replaced: $this->load->library('paytm_kit_lib'); with $this->paytm_kit_lib = service('paytm_kit_lib'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas_payment.php
Replaced: $this->load->library('form_validation'); with $this->form_validation = service('form_validation'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Saas_website.php
Replaced: $this->load->library('paypal_payment'); with $this->paypal_payment = service('paypal_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Subscription.php
Replaced: $this->load->library('stripe_payment'); with $this->stripe_payment = service('stripe_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Subscription.php
Replaced: $this->load->library('razorpay_payment'); with $this->razorpay_payment = service('razorpay_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Subscription.php
Replaced: $this->load->library('midtrans_payment'); with $this->midtrans_payment = service('midtrans_payment'); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Subscription.php
Replaced: $this->load->library('image_lib', $config); with $this->image_lib = service('image_lib', $config); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/Translations.php
Replaced: $this->load->library('slug', $config); with $this->slug = service('slug', $config); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/frontend/Gallery.php
Replaced: $this->load->library('slug', $config); with $this->slug = service('slug', $config); in /home/994924.cloudwaysapps.com/tdjkddfbdk/public_html/ci4_application/app/Controllers/frontend/News.php
