Controller: Homework | Function: evaluate_save
Controller: Card_manage | Function: idCardprintFn
Controller: Card_manage | Function: getIDCardTempleteByBranch
Controller: Card_manage | Function: admitCardprintFn
Controller: Card_manage | Function: getExamByBranch
Controller: Ajax | Function: getExamByBranch
Controller: Ajax | Function: getClassAssignM
Controller: Ajax | Function: getDataByBranch
Controller: Ajax | Function: getClassByBranch
Controller: Ajax | Function: getStudentByClass
Controller: Ajax | Function: getSectionByClass
Controller: Ajax | Function: getStafflistRole
Controller: Ajax | Function: getEmployeeList
Controller: Ajax | Function: getSubjectByClass
Controller: Online_admission | Function: delete
Controller: Online_admission | Function: approved
Controller: Online_admission | Function: unique_username
Controller: Certificate | Function: printFn
Controller: Certificate | Function: getTempleteByBranch
Controller: Library | Function: getBooksByCategory
Controller: Multiclass | Function: saveData
Controller: Multiclass | Function: validClasss
Controller: Sendsmsmail | Function: save
Controller: Sendsmsmail | Function: template
Controller: Sendsmsmail | Function: getRecipientsByRole
Controller: Sendsmsmail | Function: getSectionByClass
Controller: Sendsmsmail | Function: getSmsGateway
Controller: Sendsmsmail | Function: getTemplateByBranch
Controller: Sendsmsmail | Function: getSmsTemplateText
Controller: System_student_field | Function: save
Controller: System_student_field | Function: save_profile
Controller: Exam_progress | Function: getExamByBranch
Controller: Exam_progress | Function: getDistributionByBranch
Controller: Employee | Function: employee_validation
Controller: Employee | Function: disable_authentication
Controller: Employee | Function: csv_import
Controller: Onlineexam | Function: question_assign
Controller: Onlineexam | Function: question_group
Controller: Onlineexam | Function: exam_status
Controller: Onlineexam | Function: make_result_publish
Controller: Onlineexam | Function: getByClass
Controller: Onlineexam | Function: getExamByClass
Controller: Onlineexam | Function: save_position
Controller: Onlineexam | Function: getStudent_result
Controller: Fees | Function: group
Controller: Fees | Function: group_edit
Controller: Fees | Function: group_delete
Controller: Fees | Function: allocation
Controller: Fees | Function: allocation_save
Controller: Fees | Function: invoice_delete
Controller: Fees | Function: getTypeByBranch
Controller: Fees | Function: getGroupByBranch
Controller: Fees | Function: getTypeByGroup
Controller: Fees | Function: reminder_validation
Controller: Fees | Function: paymentRevert
Controller: Fees | Function: fee_fully_paid
Controller: Fees | Function: printFeesInvoice
Controller: Fees | Function: selectedFeesPay
Controller: Fees | Function: selectedFeesCollect
Controller: Profile | Function: index
Controller: Inventory | Function: purchase_validation
Controller: Inventory | Function: purchase_save
Controller: Inventory | Function: purchaseMakeReceived
Controller: Inventory | Function: purchase_edit_save
Controller: Inventory | Function: purchase_edit
Controller: Inventory | Function: purchase_delete
Controller: Inventory | Function: sales_validation
Controller: Inventory | Function: sales_save
Controller: Inventory | Function: getProductByCategory
Controller: Inventory | Function: sales_delete
Controller: Inventory | Function: issue_validation
Controller: Inventory | Function: issue_save
Controller: Inventory | Function: issue_delete
Controller: Inventory | Function: returnProduct
Controller: Inventory | Function: getDataByBranch
Controller: Parents | Function: parent_validation
Controller: Parents | Function: disable_authentication
Controller: Saas | Function: school_edit
Controller: Saas | Function: school_delete
Controller: Saas | Function: ajaxGetExpireDate
Controller: Saas | Function: savePaymentConfig
Controller: Saas | Function: websiteSettingsSave
Controller: Saas | Function: emailconfig
Controller: Saas | Function: emailtemplate
Controller: Cron_api | Function: send_smsemail_command
Controller: Cron_api | Function: homework_command
Controller: Cron_api | Function: fees_reminder_command
Controller: Translations | Function: update
Controller: Student | Function: student_validation
Controller: Student | Function: add
Controller: Student | Function: save
Controller: Student | Function: csv_import
Controller: Student | Function: disable_authentication
Controller: Student | Function: bulk_delete
Controller: Student | Function: sibling_report
Controller: Timetable | Function: class_save
Controller: Timetable | Function: exam_create
Controller: Timetable | Function: exam_delete
Controller: Communication | Function: delete_mail
Controller: Communication | Function: trash_observe
Controller: Communication | Function: getStafflistRole
Controller: Communication | Function: getStudentByClass
Controller: Communication | Function: getParentListBranch
Controller: Branch_role | Function: permission
Controller: Subject | Function: class_assign_save
Controller: Subject | Function: class_assign_edit
Controller: Subject | Function: getByClassSection
Controller: Role | Function: permission
Controller: Exam | Function: mark_save
Controller: Exam | Function: valid_Mark
Controller: Exam | Function: getDistributionByBranch
Controller: Exam | Function: save_position
Controller: Alumni | Function: saveEvents
Controller: Alumni | Function: getEventsList
Controller: Alumni | Function: event_delete
Controller: Alumni | Function: getEventDetails
Controller: Section | Function: saveAdmission
Controller: Section | Function: saveAdmissionOption
Controller: Section | Function: saveOnlineAdmissionFields
Controller: Section | Function: contact
Controller: Gallery | Function: upload
Controller: Gallery | Function: upload_delete
Controller: Content | Function: getMenuBranch
Controller: Student_promotion | Function: transfersave
Controller: Student_promotion | Function: getPromotionStatus
Controller: Transport | Function: assign
Controller: Transport | Function: assign_edit
Controller: Transport | Function: get_vehicle_by_route
Controller: Transport | Function: getVehicleByBranch
Controller: Transport | Function: getStoppageByBranch
Controller: Home | Function: admission
Controller: Home | Function: checkAdmissionStatus
Controller: Home | Function: admitCardprintFn
Controller: Home | Function: certificatesPrintFn
Controller: Home | Function: getSectionByClass
Controller: Accounting | Function: getVoucherHead
Controller: Branch | Function: delete_data
Controller: Backup | Function: restore_file
Controller: Attendance_period | Function: index
Controller: Attendance_period | Function: getByClassSection
Controller: School_settings | Function: emailconfig
Controller: Modules | Function: save
Controller: Leave | Function: date_check
Controller: Leave | Function: getCategory
Controller: Userrole | Function: date_check
Controller: Userrole | Function: onlineexam_submit_answer
Controller: Attendance | Function: student_entry
Controller: Attendance | Function: employees_entry
Controller: Attendance | Function: exam_entry
Controller: Event | Function: index
Controller: Event | Function: edit
Controller: Event | Function: getDetails
Controller: Event | Function: getSectionByBranch
Controller: Event | Function: get_events_list
Controller: Birthday | Function: studentWishes
Controller: Birthday | Function: staffWishes
Controller: Payroll | Function: salary_template
Controller: Payroll | Function: salary_template_edit
Controller: Payroll | Function: salary_template_delete
Controller: Payroll | Function: salary_assign
Controller: Settings | Function: universal
Controller: Settings | Function: file_types_save
Controller: Live_class | Function: index
Controller: Live_class | Function: edit
Controller: Classes | Function: index
Controller: Classes | Function: edit
Controller: Addons | Function: fileUpload
Controller: Hostels | Function: getCategoryByBranch
Controller: Hostels | Function: getRoomByHostel
